n	sd.het	d.het	lo	hi	ci	lo.tval	hi.tval	ci.tval	over
70	0.2	0	-0.513259698526434	0.513259698526435	1.02651939705287	-0.331284709976391	0.331284709976391	0.662569419952781	1.54930089759655
80	0.2	0	-0.499664337106862	0.499664337106862	0.999328674213724	-0.309900667832386	0.309900667832386	0.619801335664771	1.61233707756033
90	0.2	0	-0.488931080064912	0.488931080064912	0.977862160129825	-0.292182931613665	0.292182931613665	0.58436586322733	1.67337317537561
100	0.2	0	-0.480080057183447	0.480080057183447	0.960160114366894	-0.277193419913382	0.277193419913382	0.554386839826764	1.73193165022988
110	0.2	0	-0.472753800895455	0.472753800895455	0.945507601790909	-0.264293646856554	0.264293646856554	0.528587293713107	1.78874447614718
120	0.2	0	-0.466560091143817	0.466560091143817	0.933120182287634	-0.253027167247347	0.253027167247347	0.506054334494694	1.84391303202525
130	0.2	0	-0.461253767260044	0.461253767260044	0.922507534520088	-0.24310277685962	0.24310277685962	0.48620555371924	1.89736116229719
140	0.2	0	-0.456656011984305	0.456656011984305	0.913312023968609	-0.234260396383323	0.234260396383323	0.468520792766646	1.94935216978406
150	0.2	0	-0.452633229455537	0.452633229455537	0.905266458911074	-0.226329032467469	0.226329032467469	0.452658064934937	1.99989026825622
160	0.2	0	-0.44908354243557	0.44908354243557	0.89816708487114	-0.219131870372533	0.219131870372533	0.438263740745067	2.04937575566762
170	0.2	0	-0.445927873551376	0.445927873551376	0.891855747102753	-0.212588808804352	0.212588808804352	0.425177617608704	2.09760747077599
180	0.2	0	-0.443103886017229	0.443103886017229	0.886207772034458	-0.20657713915373	0.20657713915373	0.41315427830746	2.14498026176789
190	0.2	0	-0.44056176501176	0.44056176501176	0.88112353002352	-0.201081636459077	0.201081636459077	0.402163272918154	2.19095971551544
200	0.2	0	-0.438261216863417	0.438261216863417	0.876522433726834	-0.19599515782741	0.19599515782741	0.39199031565482	2.23608185896787
210	0.2	0	-0.436169293643457	0.436169293643457	0.872338587286913	-0.191272796122074	0.191272796122074	0.382545592244148	2.28035195012826
220	0.2	0	-0.434238684438597	0.434238684438597	0.868477368877194	-0.186883019859741	0.186883019859741	0.373766039719481	2.32358554974391
230	0.2	0	-0.432532437853563	0.432532437853563	0.865064875707126	-0.182780773318545	0.182780773318545	0.365561546637089	2.36640008683933
240	0.2	0	-0.430909383278539	0.430909383278539	0.861818766557078	-0.178915309808828	0.178915309808828	0.357830619617655	2.40845450140052
250	0.2	0	-0.429413571238739	0.429413571238739	0.858827142477477	-0.175317205501965	0.175317205501965	0.35063441100393	2.4493521329481
260	0.2	0	-0.428030574455406	0.428030574455406	0.856061148910811	-0.171894847143023	0.171894847143023	0.343789694286047	2.49007216661514
270	0.2	0	-0.426748062028457	0.426748062028457	0.853496124056913	-0.168658091049102	0.168658091049102	0.337316182098204	2.53025549722495
280	0.2	0	-0.425570939521064	0.425570939521064	0.851141879042127	-0.165652570838737	0.165652570838737	0.331305141677474	2.56905725861241
290	0.2	0	-0.424442798655038	0.424442798655038	0.848885597310076	-0.162767665366817	0.162767665366817	0.325535330733634	2.60766042013629
300	0.2	0	-0.423402318505199	0.423402318505199	0.846804637010399	-0.160032171721706	0.160032171721706	0.320064343443412	2.64573250459595
310	0.2	0	-0.422427123348288	0.422427123348288	0.844854246696575	-0.157430039557994	0.157430039557994	0.314860079115988	2.6832688636445
320	0.2	0	-0.421511231000087	0.421511231000087	0.843022462000175	-0.154950747611443	0.154950747611443	0.309901495222887	2.72029168944105
330	0.2	0	-0.420649370241929	0.420649370241929	0.841298740483859	-0.152584914529835	0.152584914529835	0.305169829059671	2.75682148224213
340	0.2	0	-0.419836878153271	0.41983687815327	0.839673756306541	-0.150324145144535	0.150324145144535	0.30064829028907	2.7928772037892
350	0.2	0	-0.41906961472937	0.41906961472937	0.83813922945874	-0.14816089952248	0.14816089952248	0.29632179904496	2.82847644742995
